"Obs_year","Park_code","Obs_date_str","Species","Sci_name","Com_name","Taxon_family","Taxon_sort","Observer","Loc_description","Obs_notes","Incidental_obs_ID","DPL_code","DPL_date_str"
2020,"NOCA","6/18/2020","HADU","Histrionicus histrionicus","Harlequin Duck","Anatidae",89,"Holmgren_Mandy","Stehekin",,4245,"A","04/27/2021 15:30"
2020,"NOCA","6/11/2020","HAFL","Empidonax hammondii","Hammond's Flycatcher","Tyrannidae",1365,"Holmgren_Mandy","Stehekin",,4343,"A","04/27/2021 15:30"
2020,"NOCA","6/12/2020","HAWO","Picoides villosus","Hairy Woodpecker","Picidae",1016,"Holmgren_Mandy","Stehekin",,4335,"A","04/27/2021 15:30"
2020,"NOCA","7/27/2020","HETH","Catharus guttatus","Hermit Thrush","Muscicapidae",1661,"Lane_Fanter","Copper Lake",,4375,"A","04/27/2021 15:30"
2020,"NOCA","7/15/2020","HOLA","Eremophila alpestris","Horned Lark","Alaudidae",1476,"Hamm_Kelsey","McAlester Meadows",,4354,"A","04/27/2021 15:30"
2020,"NOCA","6/12/2020","HOWR","Troglodytes aedon","House Wren","Certhiidae",1528,"Holmgren_Mandy","Stehekin",,4366,"A","04/27/2021 15:30"
2020,"NOCA","6/3/2020","LAZB","Passerina amoena","Lazuli Bunting","Fringillidae",2176,"Lane_Fanter","Newhalem",,4401,"A","04/27/2021 15:30"
2020,"NOCA","7/14/2020","MALL","Anas platyrhynchos","Mallard","Anatidae",68,"Lane_Fanter","Rainbow Lake",,4230,"A","04/27/2021 15:30"
2020,"NOCA","6/3/2020","MGWA","Geothlypis tolmiei","MacGillivray’s Warbler","Fringillidae",2076,"Lane_Fanter","Newhalem",,4389,"A","04/27/2021 15:30"
2020,"NOCA","7/12/2020","MOBL","Sialia currucoides","Mountain Bluebird","Muscicapidae",1635,"Lane_Fanter","Juanita Lake",,4371,"A","04/27/2021 15:30"
2020,"NOCA","7/12/2020","MOCH","Poecile gambeli","Mountain Chickadee","Paridae",1503,"Lane_Fanter","Juanita Lake",,4360,"A","04/27/2021 15:30"
